# v_0,v_f,d_min
9.000000000000000000e+03,9.000000219804856897e+03,3.645980557550914884e+08
9.040404040404040643e+03,9.040403885685869682e+03,3.642946827891352177e+08
9.080808080808081286e+03,9.080808275967805457e+03,3.639825866618540883e+08
9.121212121212121929e+03,9.121212071075744461e+03,3.636530697729501724e+08
9.161616161616160753e+03,9.161616492379764168e+03,3.633106457674360871e+08
9.202020202020201395e+03,9.202020282025276174e+03,3.629573293484581113e+08
9.242424242424242038e+03,9.242424072111452915e+03,3.625875331491683722e+08
9.282828282828282681e+03,9.282828454612923451e+03,3.622004210191105604e+08
9.323232323232323324e+03,9.323232263554911697e+03,3.617986222055769563e+08
9.363636363636363967e+03,9.363636326117115459e+03,3.613792045816031098e+08
9.404040404040404610e+03,9.404040606743708850e+03,3.609375347637816668e+08
9.444444444444445253e+03,9.444444382454357765e+03,3.604780403511202335e+08
9.484848484848484077e+03,9.484848513719498442e+03,3.599963153019899130e+08
9.525252525252524720e+03,9.525252707140974962e+03,3.594884643328996897e+08
9.565656565656565363e+03,9.565656605609949111e+03,3.589596464252547622e+08
9.606060606060606005e+03,9.606060551639842743e+03,3.583998904071602225e+08
9.646464646464646648e+03,9.646464906799456003e+03,3.578102070002355576e+08
9.686868686868687291e+03,9.686868950967664205e+03,3.571925364291030765e+08
9.727272727272727934e+03,9.727272746681919671e+03,3.565351065903276801e+08
9.767676767676766758e+03,9.767676777619748464e+03,3.558472190597672462e+08
9.808080808080807401e+03,9.808080865080415606e+03,3.551106885880382061e+08
9.848484848484848044e+03,9.848485031218579024e+03,3.543353904976088405e+08
9.888888888888888687e+03,9.888889186576532666e+03,3.535080632937741876e+08
9.929292929292929330e+03,9.929293234277572992e+03,3.526299868630056977e+08
9.969696969696969973e+03,9.969697365922929748e+03,3.516912727383736968e+08
1.001010101010101062e+04,1.001010146437608273e+04,3.506909492319334149e+08
1.005050505050504944e+04,1.005050529255683250e+04,3.496147300874447227e+08
1.009090909090909008e+04,1.009090944181350460e+04,3.484675231069297194e+08
